"Timestamp","Are you over the age of 18?","Do you ever experience challenges or specific needs when finding and using public washrooms?","In a typical week, how often do you use public washrooms outside your home?","How much effort does it usually take to locate a public washroom when you need one?","Have you ever changed your plans, delayed an outing, or avoided going somewhere because you weren’t sure a washroom would be available?","When using a public washroom, how often do you require accessibility features (e.g., grab bars, wider stalls, automatic doors, lower sinks)?","Which washroom features are most important to you? (Select up to 3)","Have you ever encountered a washroom labeled “accessible” that did not meet your needs?","How stressful do you find situations when you cannot locate a washroom quickly?","How confident are you that you can find a suitable public washroom when you leave home?","Have you ever used a digital tool (e.g., Google Maps, apps, websites) to locate a washroom?","When looking up a washroom online, which information would be most valuable? (Select all that apply)","How likely would you be to trust user reviews about a washroom’s accessibility?","Is there anything else you’d like to share about your experiences finding or using public washrooms?","What is your age group?","Do you identify as having a disability or condition that affects your mobility?","Do you live in the city of Toronto?"
"2025/09/24 11:23:10 AM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Multiple times per day","Somewhat difficult","No","Never","Cleanliness;Clear signage/directions;Wide stalls or accessible layout;Availability of gender-inclusive washrooms","Yes","Very stressful","Somewhat unconfident","Yes, often","Photos of the washroom;Accessibility details (e.g., stall width, grab bars);User reviews;Official certifications (e.g., accessibility compliance);Real-time availability (occupied/free);Location of washroom","Somewhat likely","No","18–24","No","Yes, within midtown/uptown Toronto"
"2025/09/24 11:30:04 AM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Multiple times per day","Somewhat easy","No","Always","Cleanliness;Clear signage/directions;Grab bars / handrails;Wide stalls or accessible layout;Automatic doors / touchless fixtures","No","A little stressful","Very confident","No, never","Accessibility details (e.g., stall width, grab bars);Cleanliness ratings;User reviews;Official certifications (e.g., accessibility compliance);Real-time availability (occupied/free)","Very likely","the handles/ lock mechanisms need to be easy to use. I have been trapped in washrooms before usually in places of transportation (plane/trains) also the blue iconography sucks. I have poor eyesight and cannot see things that are far away. Blue is a colour that fades into the background so if the washroom sign is that colour I cannot see it unless it is a giant sign. maybe experiment with a more bolder colour. Also I like hands free things, the less touching gross stuff the better. Also I like when stalls have an emergency button. we only have that for accessible washrooms (wheelchair users) why can't we have one for all of them?","18–24","Yes","No, I live within the GTA or beyond"
"2025/09/25 6:49:12 AM AST","Yes","Yes – I often need urgent access to a washroom (e.g., medical, health, or personal reasons)","Once per day","Somewhat easy","No","Never","Cleanliness","No","A little stressful","Somewhat confident","Yes, often","Photos of the washroom;Accessibility details (e.g., stall width, grab bars);Cleanliness ratings","Somewhat likely","no","25–34","No","Yes, within central downtown Toronto"
"2025/09/25 8:31:11 AM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 9:25:12 AM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","A few times per week","Somewhat difficult","No","Rarely","Cleanliness;Wide stalls or accessible layout;Automatic doors / touchless fixtures","No","A little stressful","Very unconfident","No, never","Cleanliness ratings","Somewhat likely","Not having paper towels in the washrooms at U of T makes me frustrated. I am unsure about the cleanliness of dryers, are they blowing germs onto my hands? Sometimes I need paper towels to clean up stuff etc, bummer they have been removed. H","25–34","No","Yes, within midtown/uptown Toronto"
"2025/09/25 9:26:32 AM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 9:29:29 AM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 9:42:38 AM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 10:07:39 AM AST","Yes","Yes – I often need urgent access to a washroom (e.g., medical, health, or personal reasons)","Once per day","Neither easy nor difficult","Yes","Sometimes","Cleanliness;Wide stalls or accessible layout;Automatic doors / touchless fixtures;WUDU Sinks (Low sinks)","Yes","Somewhat stressful","Somewhat unconfident","Yes, sometimes","Photos of the washroom;Accessibility details (e.g., stall width, grab bars);Cleanliness ratings;User reviews;Official certifications (e.g., accessibility compliance);Real-time availability (occupied/free)","Neutral","no","25–34","No","Yes, within midtown/uptown Toronto"
"2025/09/25 10:27:59 AM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
